Symbol, Name
BTC-USD,Bitcoin
ETH-USD,Ethereum
USDT-USD,Tether
BNB-USD,BinanceCoin
ADA-USD,Cardano
XRP-USD,XRP
USDC-USD,USDCoin
DOGE-USD,Dogecoin
HEX-USD,HEX
DOT1-USD,Polkadot
UNI3-USD,Uniswap
BCH-USD,BitcoinCash
LTC-USD,Litecoin
SOL1-USD,Solana
LINK-USD,Chainlink
MATIC-USD,MaticNetwork
XLM-USD,Stellar
ETC-USD,EthereumClassic
ICP1-USD,InternetComputer
THETA-USD,THETA
VET-USD,VeChain
FIL-USD,FilecoinFutures
TRX-USD,TRON
EOS-USD,EOS
XMR-USD,Monero
AAVE-USD,Aave
CRO-USD,CryptocomCoin
LUNA1-USD,Terra
SHIB-USD,SHIBAINU
ALGO-USD,Algorand
ATOM1-USD,Cosmos
BSV-USD,BitcoinSV
MKR-USD,Maker
XTZ-USD,Tezos
NEO-USD,NEO
MIOTA-USD,IOTA
AMP1-USD,Amp
COMP-USD,Compound
AVAX-USD,Avalanche
GRT2-USD,TheGraph
CCXX-USD,CounosX
TFUEL-USD,ThetaFuel
EGLD-USD,Elrond
KSM-USD,Kusama
DCR-USD,Decred
BTT1-USD,BitTorrent
HBAR-USD,HederaHashgraph
TUSD-USD,TrueUSD
WAVES-USD,Waves
CHZ-USD,Chiliz
